slotId,dayOfWeek,startTime,endTime
1,MONDAY,9:00,10:00
2,MONDAY,10:00,11:00
3,MONDAY,11:00,12:00
4,MONDAY,13:00,14:00
5,MONDAY,14:00,15:00
6,MONDAY,15:00,16:00
7,TUESDAY,9:00,10:00
8,TUESDAY,10:00,11:00
9,TUESDAY,11:00,12:00
10,TUESDAY,13:00,14:00
11,TUESDAY,14:00,15:00
12,TUESDAY,15:00,16:00
13,WEDNESDAY,9:00,10:00
14,WEDNESDAY,10:00,11:00
15,WEDNESDAY,11:00,12:00
16,WEDNESDAY,13:00,14:00
17,WEDNESDAY,14:00,15:00
18,WEDNESDAY,15:00,16:00
19,THURSDAY,9:00,10:00
20,THURSDAY,10:00,11:00
21,THURSDAY,11:00,12:00
22,THURSDAY,13:00,14:00
23,THURSDAY,14:00,15:00
24,THURSDAY,15:00,16:00
25,FRIDAY,9:00,10:00
26,FRIDAY,10:00,11:00
27,FRIDAY,11:00,12:00
28,FRIDAY,13:00,14:00
29,FRIDAY,14:00,15:00
30,FRIDAY,15:00,16:00
